,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,sodium_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,fiber_100g,proteins_100g,fruits-vegetables-nuts-filling-estimate
en:pollocks,339.0,0.9,0.3,0.2,0.505,0.19881889763779498,,,0.5,16.0,
en:protein-powders,1574.0,4.4,1.5,4.0,0.4,0.15748031496063,,,1.9,77.6,
en:strawberry-biscuits,1674.0,8.4,3.0,37.0,0.41,0.161417322834646,27.8,23.0,1.9,4.9,25.4
en:camemberts-de-normandie,1163.0,21.9,15.0,0.5,1.7,0.669291338582677,,,0.0,20.4,
fr:coquillettes-de-ble-dur,1498.0,1.9,0.35,3.5,0.01,0.00393700787401575,0.0,0.0,3.5,12.0,0.0
en:peach-jams,929.0,0.1,0.0,53.0,0.0,0.0,55.0,55.0,1.2,0.5,55.0
fr:taramas-au-cabillaud,2138.0,51.0,4.0,0.5,1.5,0.590551181102362,,,0.55,6.5,
fr:jambons-serrano,971.5,12.0,4.25,0.5,5.01,1.9724409448818898,,,0.0,30.0,
en:frozen-spinachs,117.0,0.8,0.1,0.5,0.16,0.062992125984252,100.0,100.0,2.4,2.9,100.0
en:baby-dairy-desserts,393.0,3.1,1.9,9.75,0.1,0.0393700787401575,,25.35,0.5,3.0,25.35
en:coleslaw,485.0,8.5,0.7,5.5,0.8,0.31496062992126,73.0,72.0,2.0,1.0,72.0
fr:farces,1054.0,18.54,6.97,0.9,1.65,0.649606299212598,,15.0,0.0,15.0,15.0
en:regina-pizza,850.0,6.65,2.9,3.2,1.28,0.503937007874016,,16.0,2.11,9.5,16.0
fr:foies-gras-mi-cuits,2211.0,55.0,23.0,1.75,1.1,0.433070866141732,,,0.0,7.0,
en:baby-dishes,301.0,2.2,0.6,1.5,0.28,0.110236220472441,53.2,32.0,1.3,2.8,36.5
en:bagel-breads,1157.0,3.4,0.6,5.3,0.8,0.31496062992126,,,3.2,9.9,
en:jasmine-rice,1477.0,0.75,0.2,0.2,0.0,0.0,,,1.4,7.4,
en:mixed-vegetable-oils,3700.0,100.0,9.0,0.0,0.0,0.0,,,0.0,0.0,
fr:croque-monsieur,1120.0,11.5,5.66,2.585,1.6,0.62992125984252,,,1.5,11.350000000000001,
fr:thons-a-l-huile-d-olive,876.0,12.0,2.1,0.0,1.0,0.393700787401575,0.0,0.0,0.0,25.0,0.0
fr:mousses-de-canard,1688.5,39.0,14.8,1.8,1.5,0.590551181102362,0.0,0.0,0.0,9.55,0.0
en:tomato-juices,79.0,0.1,0.0,3.0,0.4,0.15748031496063,99.5,99.0,0.5,0.7,99.0
en:frozen-green-beans,146.0,0.2,0.0,1.7,0.02,0.0078740157480315,100.0,100.0,4.05,1.9,100.0
en:tabletop-sweeteners,1393.0,0.0,0.0,8.0,0.03,0.0118110236220472,,,0.0,0.0,
en:refrigerated-soups,184.0,2.25,0.7,1.9,0.665,0.261811023622047,74.0,66.5,1.2,0.9,71.0
en:cream-of-pumpkin-soups,151.0,1.5,0.8,2.2,0.7,0.275590551181102,53.0,48.9,1.0,0.7,50.2
en:frozen-pies,965.0,12.0,6.3,2.9,0.96,0.37795275590551203,,19.5,1.2,7.2,19.5
fr:roqueforts,1510.0,32.0,22.5,0.0,3.6500000000000004,1.4370078740157501,,,0.0,19.0,
fr:preparations-pour-desserts,1573.5,3.75,1.1,47.55,0.12,0.047244094488189003,,14.0,1.2,3.4,14.0
en:lettuces,59.0,0.1,0.017,1.3,0.03,0.0118110236220472,100.0,100.0,1.2,0.9,100.0
en:roasted-pistachios,2571.0,50.0,6.5,6.5,1.3,0.5118110236220471,100.0,90.0,9.4,22.0,100.0
fr:tommes,1439.0,28.15,20.0,0.5,1.6,0.62992125984252,,3.0,0.0,22.0,3.0
fr:boudins-blancs,1046.0,22.0,8.3,2.0,1.45,0.5708661417322829,,2.1,0.55,10.0,2.1
en:frozen-broccoli-florets,121.0,0.5,0.1,1.4,0.03175,0.0125,100.0,100.0,2.95,2.8,100.0
en:cereal-oils,3502.0,93.0,13.9,0.0,0.0,0.0,,,0.0,0.0,
en:croissants,1745.0,21.1,12.9,7.9,1.0,0.393700787401575,,,2.1,7.5,
fr:curry,0.0,6.5,1.0,2.9,1.524,0.6,,,1.25,4.8,
en:thermised-milk-cheeses,1159.0,24.0,17.0,0.5,1.55,0.610236220472441,,,0.0,18.5,
en:meal-replacements,1548.0,9.0,1.5,10.0,0.5,0.19699999999999998,22.0,22.0,5.5,22.0,22.0
de:snacks-sucres,2167.0,28.0,14.0,46.1,0.2,0.078740157480315,,25.0,3.0,6.6,25.0
en:cheeses-from-the-united-kingdom,1700.0,34.0,21.7,0.1,1.8,0.708661417322835,,,0.0,25.0,
en:cheeses-from-england,1700.0,34.0,21.7,0.1,1.8,0.708661417322835,,,0.0,25.0,
en:halloween-foods-and-drinks,1588.0,0.75,0.6,54.45,0.2,0.078740157480315,,,0.5,3.4,
en:rye-breads,875.5,1.5,0.3,2.785,1.2,0.47244094488189003,,,9.6,6.4,
en:blackcurrant-jams,988.5,0.3,0.03,53.7,0.02,0.0078740157480315,40.0,55.0,3.1500000000000004,0.6,55.0
en:boeufs-bourguignons,351.0,2.4,0.8,1.5,0.8,0.31496062992126,38.625,12.7,1.6,7.6,13.7
en:fortified-wines,0.0,0.0,0.0,7.76,22.86,9.0,,,0.0,0.2,
en:mussels,481.0,3.1,1.0,0.5,1.03,0.405511811023622,,2.3,0.5,15.0,2.3
en:apricot-yogurts,411.5,3.1,1.9,13.3,0.1,0.0393700787401575,9.6,8.0,0.2,3.5,8.0
en:hazelnuts,2787.0,62.6,5.0,4.3,0.013000000000000001,0.005118110236220471,100.0,100.0,9.4,15.5,100.0
fr:vinaigrettes-allegees-en-matieres-grasses,1027.0,25.6,2.0,1.6,1.9,0.748031496062992,,0.75,0.5,0.5,0.75
fr:galettes-de-ble-noir,718.0,1.8,0.3,0.5,1.4,0.551181102362205,,,2.7,5.8,
en:candied-fruit,1291.5,0.3,0.06,61.4,0.085,0.033464566929133854,0.0,55.0,1.2,0.5,27.5
en:maple-syrups,1255.0,0.0,0.0,65.0,0.0254,0.01,,,0.0,0.0,
en:soft-cheese-with-a-natural-rind,1247.0,24.0,18.0,0.6,1.4,0.551181102362205,,,0.0,18.0,
fr:coulommiers,1174.0,23.0,16.0,0.1,1.5,0.590551181102362,,,0.0,19.0,
en:wheats,1456.0,1.8,0.4,1.7,0.01,0.00393700787401575,15.5,15.5,6.9,12.1,15.5
en:ice-pops,346.0,0.1,0.0,19.0,0.02,0.0078740157480315,7.0,7.6,0.45,0.1,7.3
fr:madeleines-longues,1858.0,21.79,2.2,28.3,0.8,0.31496062992126,,11.5,1.1,5.6,11.5
en:baby-fruit-desserts,237.0,0.3,0.04,10.7,0.02,0.0078740157480315,99.9,99.9,1.7,0.4,99.9
en:lemon-soft-drinks,111.0,0.0,0.0,7.0,0.01,0.00393700787401575,5.0,5.5,0.0,0.0,5.0
en:canned-soups,180.0,1.7,0.31,1.35,0.745332,0.29343779527559055,0.0,31.5,0.8,1.2,23.0
en:hearts-of-palm,107.0,0.4,0.0,0.5,0.8,0.31496062992126,,,2.4,2.3,
en:king-cakes,1828.5,28.0,16.0,14.0,0.72,0.28346456692913397,,5.0,1.6,6.1,5.0
en:white-beans,626.0,0.875,0.2,2.3,0.1,0.0393700787401575,100.0,100.0,13.1,19.1,100.0
en:chocolate-eggs,2284.0,32.75,20.0,52.1,0.15,0.0590551181102362,0.0,7.15,1.1,6.4,0.0
fr:pates-brisees,1599.5,19.7,9.8,2.5,1.0,0.393700787401575,,,1.7,6.2,
en:plain-stirred-yogurts,300.0,3.5,2.3,4.3,0.1016,0.04,,,0.0,4.0,
en:cheddar-cheese,1699.0,34.0,21.7,0.1,1.8,0.708661417322835,,,0.0,25.0,
es:embutidos,637.0,9.0,2.8,0.0,2.2,0.8665,,,0.0,11.0,
en:assorted-chocolates,2341.0,37.0,21.3,43.0,0.14500000000000002,0.05708661417322835,,17.1,2.9,7.0,17.1
en:panna-cottas,854.0,12.0,8.5,18.0,0.12,0.047244094488189003,,10.4,0.55,2.6,10.4
fr:miels-d-acacia,1339.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
fr:beignets,1290.5,13.9,1.9,13.0,0.76,0.299212598425197,,9.0,1.7,6.1,9.0
en:flammekueche,1017.0,11.8,5.1,3.3,1.3,0.5118110236220471,,7.8,1.6,7.0,7.8
en:whipped-creams,1209.0,30.0,20.0,8.850000000000001,0.1,0.0393700787401575,,,0.0,2.4,
fr:rillettes-du-mans,1684.0,38.0,15.0,0.2,1.2,0.47244094488189003,,,0.0,16.0,
en:wheat-groats,1448.0,2.0,0.4,1.2,0.03,0.0118110236220472,31.0,36.6,7.5,11.9,31.0
en:bulgur,1448.0,2.0,0.4,1.2,0.03,0.0118110236220472,31.0,36.6,7.5,11.9,31.0
fr:financiers,1909.0,27.0,13.0,34.0,0.37,0.145669291338583,0.0,6.0,2.2,8.4,3.0
en:snacks-sucres,1917.5,19.0,8.5,36.3,0.32299999999999995,0.127165354330709,,8.0,2.4,5.4,8.0
en:chinese-noodles,1461.5,3.0,0.7,2.0,0.91,0.358267716535433,0.0,0.0,1.8,8.649999999999999,0.0
en:curry-sauces,625.5,10.27,2.95,5.71,1.39,0.5472440944881889,33.0,19.45,1.0,1.3,33.0
en:sweet-peppers,4.0,0.9,0.1,2.87,0.6749999999999995,0.26574803149606296,,59.0,1.95,0.96,59.0
en:evaporated-milks,586.5,8.0,5.0,12.0,0.26,0.102362204724409,,,0.0,6.9,
en:fleur-de-sel-chocolates,2324.0,36.0,22.4,44.95,0.5,0.19685039370078697,,10.0,7.0,6.8,10.0
en:organic-semi-skimmed-milks,192.0,1.55,1.0,4.8,0.1,0.0393700787401575,,,0.0,3.2,
en:lemon-syrups,1138.5,0.0,0.0,65.5,0.01,0.00393700787401575,12.5,17.5,0.0,0.01,17.5
en:growth-milks,272.0,3.0,1.2,6.35,0.08,0.031496062992126,,,0.0,1.7,
en:english-bread-without-crust,1067.0,3.6,0.4,6.9,1.1,0.433070866141732,0.0,0.0,2.8,7.6,0.0
fr:tapenades-noires,1106.5,26.0,3.3,0.5,3.3,1.2992125984252,84.0,84.0,4.09,1.8,84.0
fr:cotes-du-rhone,0.0,0.0,0.0,11.025,0.0,0.0,,,,0.05,
en:nut-flours,2565.0,53.0,4.27,4.45,0.01,0.00393700787401575,100.0,100.0,9.0,23.8,100.0
en:penne-rigate,1494.0,2.0,0.4,3.4,0.01,0.00393700787401575,,,3.5,12.0,
en:canned-carrots,141.0,0.4,0.1,3.1,0.570000000000001,0.22440944881889802,90.0,80.0,2.6,0.8,80.0
fr:oeufs-en-chocolat,2301.5,34.0,20.0,52.1,0.2,0.078740157480315,,,1.6,6.4,
en:bries,1452.0,31.0,22.0,0.5,1.4,0.551181102362205,,,0.0,17.0,
en:tartiflettes,632.0,8.4,4.8,0.8,0.73,0.28740157480315004,54.75,54.75,1.6,5.5,54.75
fr:chipolatas,1029.0,20.0,7.4,0.8,1.7,0.669291338582677,,,0.0,15.0,
en:white-teas,0.0,0.0,0.0,0.20005,0.0,0.0,,,0.0,0.0,
en:cassava-crisps,2205.0,30.3,2.8,7.45,1.975,0.7775590551181104,,,1.0,2.0,
en:chocolate-rabbits,2305.0,33.3,20.0,54.1,0.2,0.078740157480315,0.0,0.0,1.8,6.6,0.0
en:canned-kidney-common-beans,448.0,0.6,0.1,1.5,0.68,0.26771653543307106,,86.0,6.2,7.9,86.0
en:milk-powders,1502.0,1.1,0.5,37.75,0.74168,0.292,,,0.0,25.75,
en:frozen-berries,194.5,0.3,0.1,6.0,0.01,0.00393700787401575,100.0,100.0,4.1,1.1,100.0
en:tuna-chunks,797.0,10.0,1.4,1.0,1.1,0.433070866141732,,6.8,0.0,16.1,6.8
en:rhubarb-jams,973.0,0.2,0.028999999999999998,56.0,0.01,0.00393700787401575,65.0,55.0,1.8,0.5,55.0
en:aliments-d-origine-vegetale,1536.0,10.55,1.855,4.0,0.7535000000000001,0.29648031496063,50.0,65.0,4.6,8.45,64.0
en:apricot-nectars,230.0,0.1,0.01,12.0,0.01,0.00393700787401575,50.0,50.0,0.48,0.4,50.0
en:barbecue-crisps,2240.0,33.0,2.9,2.8,1.4,0.551181102362205,,,4.4,6.3,
en:coffee-milks,304.0,2.55,1.55,9.25,0.10922,0.043,,,0.5,3.0,
fr:barquettes,1493.0,4.45,0.8,51.2,0.34,0.133858267716535,27.8,27.8,1.9,4.85,27.8
en:pumpkin-seeds-and-their-products,2403.0,47.15,8.7,1.3,0.03,0.0118110236220472,0.0,0.0,6.0,28.3,0.0
en:labeled-products,1377.0,23.0,16.0,0.5,1.0,0.393700787401575,,,0.0,20.4,
en:instant-beverages,1418.0,7.0,3.95,11.95,0.109,0.043,,,12.1,8.4,
en:french-champagnes,0.0,0.0,0.0,1.4,0.0,0.0,,,0.0,0.3,
en:canned-sprouts,94.0,0.2,0.1,2.0,0.41,0.161417322834646,100.0,100.0,1.5,1.7,100.0
en:chestnut-yogurts,494.0,3.95,2.7,13.8,0.1,0.0393700787401575,0.0,7.1,0.5,3.6,7.05
en:mascarpone,1569.0,38.0,25.8,3.0,0.08,0.031496062992126,,,0.0,5.8,
en:decaffeinated-coffees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:wild-smoked-salmons,519.0,2.9,0.6,0.4,2.9999999999999907,1.1811023622047199,,,0.4,24.0,
en:christmas-puddings,1299.0,6.5,3.05,43.3,0.228562,0.09004999999999999,,,3.2,3.0,
en:marrons-glaces,1339.0,0.9,0.2,50.2,0.05,0.0196850393700787,,44.7,4.8,1.0,44.7
en:sardines-in-tomato-sauce,748.0,10.2,3.1,1.0,1.0,0.393700787401575,0.0,0.0,0.75,17.0,0.0
en:vodka,0.0,0.5,0.3,0.54,0.0,0.0,,,0.0,0.001,
en:white-smoked-hams,602.0,6.1,2.2,0.6,1.9,0.748031496062992,,,0.5,20.0,
en:chia,1858.0,31.4,3.7,0.7,0.01,0.00393700787401575,,,33.7,21.2,
en:abbey-beer,0.0,0.3,0.0,0.45,0.055,0.021653543307086624,,,0.0,0.5,
en:brown-rices,1467.5,2.7,0.6,0.7,0.01,0.00393700787401575,,,3.95,8.0,
fr:filets-d-anchois-marines,868.0,11.0,2.05,0.15,13.19,5.1929133858267695,,,0.9,23.0,
en:sugared-crepes,1761.0,17.0,5.6,33.6,0.79,0.311023622047244,,16.0,1.7,6.7,16.0
en:apple-pies,1004.0,8.75,5.4,19.2,0.23,0.0905511811023622,71.2,55.0,2.0,2.6,55.0
en:frozen-lasagne,537.0,5.9,2.5,2.4,0.75,0.295275590551181,12.7,15.55,1.5,5.8,15.0
en:chocolate-muffins,1819.0,22.45,4.2,28.9,0.95,0.374015748031496,,,2.3,5.6,
en:beers-with-fruits,0.0,0.05,0.0,4.2,0.015,0.005905511811023625,,,0.05,0.45,
fr:sucres-en-poudre,1674.0,0.0,0.0,100.0,0.0,0.0,,,0.0,0.0,
en:veal-meat-dishes,477.0,4.0,1.55,1.0,0.7750000000000006,0.3051181102362205,45.0,14.1,1.1,7.2,22.0
fr:cordons-bleus-de-dinde,935.0,12.05,3.1500000000000004,2.0,1.4,0.551181102362205,,,1.55,12.8,
fr:liegeois,611.5,6.9,4.4,15.9,0.135,0.0531496062992126,69.7,69.7,0.5,2.9,69.7
es:patatas-fritas,2235.0,34.6,4.05,0.8,1.115545,0.4391909448818895,,,4.45,6.3,
es:verduras-y-hortalizas-fritas,2239.0,34.8,4.1,0.8,1.016,0.4,,,4.4,6.3,
en:honey-based-preparations,1360.0,0.0,0.0,75.0,0.01,0.00393700787401575,,,0.0,0.5,
en:macarons,1782.0,18.35,4.3,51.0,0.15,0.0590551181102362,,16.4,3.4,8.585,16.4
en:almond-butters,2634.0,55.2,4.6,4.9,0.01,0.00393700787401575,100.0,100.0,7.7,22.35,100.0
en:doughnuts,1812.0,24.0,12.3,17.0,0.855,0.3366141732283465,,,1.5,5.6,
en:melons,0.0,0.165,0.01,6.215,0.0,0.0,,100.0,5.8,0.715,100.0
en:fresh-legumes,73.0,0.2,0.08,0.9,0.71882,0.28300000000000003,100.0,100.0,2.8,1.6,100.0
fr:rosettes,1571.5,31.0,12.0,1.05,4.4,1.7322834645669298,,,0.0,25.0,
fr:tielles-setoises,1234.0,14.0,1.5,3.5,1.4,0.551181102362205,0.0,16.8,1.8,8.0,8.4
en:orange-nectars,174.0,0.0,0.0,9.3,0.01,0.00393700787401575,55.0,54.0,0.3,0.4,55.0
fr:compotes-pommes-abricot,268.0,0.365,0.0,13.0,0.0,0.0,96.0,95.5,1.7,0.5,95.5
fr:macedoines-de-legumes-en-conserve,159.0,0.3,0.1,1.1,0.7,0.275590551181102,0.0,20.4,3.4,2.1,0.0
en:kiwifruits,0.0,0.5,0.065,8.8,0.006,0.00236220472440945,100.0,100.0,3.0,1.1,100.0
fr:saucisses-cocktail,1058.5,21.9,8.0,0.6,1.9,0.748031496062992,0.0,0.0,0.5,12.0,0.0
en:cage-eggs,602.0,10.0,2.7,0.7,0.3,0.118110236220472,,,0.0,12.3,
fr:fromages-blancs-aux-fruits,441.5,2.9,1.9,12.0,0.1,0.0393700787401575,6.1,7.5,0.2,5.8,6.8
en:meat-menus-for-babies,286.5,2.3,0.6,1.6,0.23,0.0905511811023622,40.25,48.0,1.4,2.8,48.0
en:smoked-sausages,1176.0,24.0,9.2,0.8,2.1,0.8267716535433071,,,0.5,15.6,
en:bananas,0.0,0.2,0.1,16.0,0.0062699999999999995,0.002468503937007875,100.0,100.0,3.1,1.2,100.0
fr:chips-de-manioc-a-la-crevette,2213.0,30.6,2.8,7.4,2.0,0.78740157480315,,,1.0,2.0,
en:grana-padano,1665.0,29.0,18.0,0.0,1.5,0.590551181102362,,,0.0,33.0,
en:canned-beet,172.0,0.1,0.022000000000000002,6.5,0.54,0.21259842519685,0.0,0.0,2.3,1.05,0.0
en:puffed-corn-cakes,1638.0,2.2,0.4,0.7,0.33499999999999996,0.1318897637795275,,,3.0,7.7,
en:lemon-sorbets,498.0,0.04,0.0,24.05,0.02,0.0078740157480315,,26.0,0.45,0.2,26.0
en:old-style-mustards,657.0,11.0,0.8,2.0,5.2,2.04724409448819,,,5.2,7.2,
en:evening-meals-for-babies,293.0,2.2,0.5,2.7,0.24,0.09448818897637801,44.75,44.75,1.25,2.3,44.75
en:pasta-salads,716.5,9.030000000000001,1.7,2.0,0.79,0.311023622047244,24.5,22.0,1.5,5.5,22.0
en:cheesecakes,1230.0,16.0,8.55,23.1,0.3,0.118110236220472,10.0,5.75,0.8,4.6,6.1
en:peach-yogurts,393.0,2.8,1.7,13.0,0.1,0.0393700787401575,10.6,9.57,0.19,3.6,9.8
en:dried-goji,1435.0,3.2,0.5,47.4,0.65,0.255905511811024,100.0,100.0,7.8,12.0,100.0
fr:merguez,1192.0,24.95,10.0,1.2,1.8,0.708661417322835,,,0.0,14.0,
en:canned-artichokes,142.0,0.1,0.0,1.0,0.8,0.31496062992126,,,2.7,1.8,
en:dark-chocolates-with-sweeteners,2093.0,37.0,23.0,0.5,0.04,0.015748031496063,,12.0,10.0,6.9,12.0
en:almond-cookies,1864.0,14.1,2.42,34.3,0.15,0.0590551181102362,,14.5,2.6,8.8,14.5
en:frozen-ravioli,726.0,5.859999999999999,0.9,1.9,1.0,0.393700787401575,58.0,29.0,1.7,8.1,29.0
en:cherry-yogurts,414.0,2.81,1.8,12.8,0.11,0.0433070866141732,,10.0,0.2,3.6,10.0
en:medoc-wines,0.0,,,,,,,,,,
en:mint-teas,0.0,0.0,0.0,0.060000000000000005,0.0,0.0,,,0.0,0.0,
en:red-lentils,1397.0,1.6,0.2,1.7,0.019000000000000003,0.007480314960629925,100.0,100.0,12.1,24.95,100.0
en:salted-dark-chocolates,2333.0,38.5,22.0,39.0,0.39,0.153543307086614,,13.0,7.98,7.0,13.0
en:emmental-cheese-sandwiches,1042.0,11.0,2.8,2.7,1.5,0.590551181102362,,10.6,2.6,11.1,10.6
es:chips-de-verduras-y-hortalizas-fritas,2243.0,34.9,4.1,0.8,1.0370819999999998,0.4083,,,4.4,6.3,
fr:pistaches-salees,2541.5,50.0,6.6,6.4,1.5,0.590551181102362,,80.0,9.2,22.5,80.0
en:almond-meal,2594.0,53.8,4.3,4.3,0.01,0.00393700787401575,100.0,100.0,7.9,24.0,100.0
en:mandarin-oranges,0.0,0.195,0.0,9.18,0.00055,0.000216535433070866,100.0,100.0,1.4,0.8,100.0
en:strawberry-syrups,1362.0,0.0,0.0,78.4,0.01,0.00393700787401575,21.0,17.0,0.0,0.0,17.0
en:scotch-whisky,0.0,0.0,0.005,0.065,0.0,0.0,,,,0.0,
en:kefir,211.5,1.5,1.0,4.3,0.11499999999999999,0.0452535433070866,,,0.0,3.1,
en:marinated-olives,705.0,17.85,2.8,0.1,3.8,1.49606299212598,,,3.9,1.25,
en:milk-jams,1226.0,3.8,2.0,54.0,0.35,0.137795275590551,0.0,0.0,0.0,7.4,0.0
en:light-fruit-sodas,13.9,0.0,0.0,0.6,0.008,0.0031496062992126,5.0,14.0,0.0,0.01,9.5
en:fruit-syrups,1247.0,0.0,0.0,72.0,0.0,0.0,,11.0,0.1,0.0,11.0
en:coffee-desserts,594.0,6.3,4.15,15.45,0.15,0.0590551181102362,0.0,0.0,0.35,3.0,0.0
en:milk-chocolate-with-caramel,2314.0,34.0,21.0,51.0,0.32,0.125984251968504,,1.1,1.5,6.6,1.1
en:black-pudding,957.0,19.0,7.4,2.8,1.34,0.52755905511811,28.5,29.0,1.5,11.0,29.0
en:canned-spinachs,140.0,0.6,0.1,0.7,0.43,0.16929133858267698,,,2.9,3.5,
en:corn-salad,88.0,0.4,0.1,0.365,0.010287000000000001,0.00405,,100.0,2.1,2.0,100.0
en:extended-shelf-life-milks,269.0,3.5,2.3,4.8,0.13,0.0511811023622047,,,0.0,3.4,
fr:traiteur,1018.0,8.5,3.25,2.2,1.2,0.47244094488189003,,18.0,2.1,8.5,18.0
en:turkey-dishes,633.5,8.4,2.0,1.5,1.0,0.393700787401575,41.0,16.0,1.2,8.4,24.95
en:vegetable-sauces,321.5,4.15,0.5,5.4,1.0,0.393700787401575,55.5,79.0,2.4,1.5,70.0
en:avocados,0.0,16.0,2.17,1.0,0.0,0.0,,99.68,4.5,1.8,99.68
en:filled-milk-chocolates,2307.5,33.75,18.5,51.0,0.2,0.078740157480315,18.0,14.5,2.0,5.9,18.0
en:ravioli-with-vegetables,482.0,3.3,0.6,2.8,0.9,0.3543307086614171,18.15,19.15,2.2,3.1,18.3
en:sesame,2602.0,72.0,11.9,0.0,0.008,0.0031496062992126,,,7.95,6.0,
en:sweet-wines,0.0,0.0,0.0,7.76,22.86,9.0,,,0.0,0.2,
fr:cremes-dessert-caramel,561.0,4.0,2.3,16.0,0.18,0.0708661417322835,,,0.095,3.1,
en:salted-butter-caramels,1717.0,12.5,8.42,47.4,0.885,0.3484251968503935,,,0.0,2.1500000000000004,
fr:pommes-rissolees-surgelees,592.0,4.15,0.5,0.5,0.08,0.031496062992126,,0.0,2.4,2.4,0.0
en:refrigerated-vegetable-soups,186.5,2.5,0.7,2.0,0.68,0.26771653543307106,74.0,55.6,1.2,0.9,58.8
en:legume-pickles,435.0,2.0,0.2,0.2,3.5,1.3779527559055098,,,7.8,11.6,
en:pickled-lupin-beans,435.0,2.0,0.2,0.2,3.5,1.3779527559055098,,,7.8,11.6,
en:molded-butters,3059.0,82.0,57.0,0.6,1.8,0.708661417322835,,,0.0,0.7,
en:dehydrated-vegetable-soups,326.5,1.8,0.4,2.6,0.84,0.330708661417323,63.5,38.5,1.5499999999999998,1.7,45.5
en:rum-baba,870.0,3.7,2.1,26.1,0.2,0.078740157480315,,,1.0,2.0,
en:coconut-waters,82.0,0.0,0.0,3.8,0.053142999999999996,0.02095,2.5,2.5,0.0,0.04,2.5
fr:pulpes-de-tomates,104.0,0.2,0.0,3.4,0.14,0.05511811023622045,99.4,99.4,1.2,1.2,99.4
en:garlic,0.0,1.3,0.2,1.25,1.0,0.393700787401575,,96.0,2.0,4.3,96.0
en:virgin-olive-oils,3464.0,99.0,14.0,0.0,0.0,0.0,,,0.0,0.0,
fr:reblochons,1365.0,27.0,18.0,0.2,1.4,0.551181102362205,,,0.0,20.0,
en:canned-legume-sprouts,96.0,0.2,0.1,2.0,0.41,0.161417322834646,100.0,100.0,1.7,1.7,100.0
en:sardine-fillets,855.0,13.0,3.3,0.0,1.0,0.393700787401575,,,0.0,22.0,
fr:sauces-tomates-au-basilic,236.0,2.6,0.3,4.8,0.9,0.3543307086614171,,86.9,1.85,1.5,86.9
fr:desserts-lactes-aux-oeufs,674.0,7.1,4.35,18.0,0.15,0.0590551181102362,4.75,0.4,0.0,4.4,0.4
en:tuna-sandwiches,908.0,7.35,1.0,2.8,1.2,0.47244094488189003,0.0,16.5,2.6500000000000004,9.7,15.85
en:green-asparagus,67.0,0.3,0.0,1.0,0.78,0.307086614173228,100.0,100.0,1.5,2.0,100.0
en:sliced-bacon,519.0,3.3,1.2,0.7,2.9,1.14173228346457,,,0.5,22.0,
en:guacamoles,659.0,13.2,3.0,2.0,1.1,0.433070866141732,90.0,90.0,3.6,1.7,90.0
en:beverages-with-orange,175.0,0.07,0.0,9.2,0.00327,0.00128740157480315,18.0,16.0,0.1,0.1,16.0
fr:pates-charcutiers,1205.0,25.0,9.24,0.6499999999999999,1.55,0.610236220472441,,6.4,0.0,14.0,6.4
en:dried-mushrooms,1119.5,2.9,0.4,6.1,0.1,0.0393700787401575,100.0,100.0,22.4,21.0,100.0
en:brown-sugars,1657.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fr:cremes-au-vinaigre-balsamique,928.5,0.0,0.0,43.0,0.1,0.0393700787401575,0.0,0.0,0.0,0.6,0.0
en:falafels,1008.5,11.0,1.3,2.25,1.3,0.5118110236220471,25.5,48.0,6.5,8.0,46.0
en:canned-lentils,351.8,0.5,0.1,0.5,0.7,0.275590551181102,43.0,43.0,4.2,6.185,43.0
en:canned-mung-bean-sprouts,95.0,0.2,0.1,2.0,0.41,0.161417322834646,100.0,100.0,1.7,1.75,100.0
fr:crudites,357.0,6.6,0.5,3.5,0.83,0.326771653543307,72.0,72.0,2.4,1.0,72.0
en:sardines-in-sunflower-oil,958.0,15.0,3.3,0.0,1.0,0.393700787401575,,,0.0,23.0,
en:puffed-rice-cakes-with-black-chocolate,2031.0,23.0,14.0,22.2,0.05,0.0196850393700787,,,6.0,6.9,
en:fish-quenelles,841.0,12.0,5.7,0.6,1.1,0.433070866141732,,,1.0,7.6,
en:prepared-dishes-with-scallops,582.5,6.35,4.2,1.65,0.8,0.31496062992126,9.3,12.2,1.2,6.15,11.6
en:fresh-green-beans,73.0,0.2,0.015,0.9,0.7366,0.29,100.0,100.0,2.8,1.5,100.0
en:nut-bars,2151.0,31.8,5.6,27.5,0.1,0.0393700787401575,51.5,51.0,6.535,13.6,51.0
en:chili-con-carne,444.0,3.0,1.0,2.0,0.76,0.299212598425197,42.0,33.1,3.4,6.5,42.0
en:salted-milk-chocolates,2310.0,34.2,22.0,50.1,0.49000000000000105,0.192913385826772,,19.0,2.0,6.8,19.0
en:lemons,0.0,0.3,0.0,1.7,0.0,0.0,,,2.0,0.8,
fr:barres-aux-fruits,1615.0,13.0,2.5,40.3,0.1,0.0393700787401575,62.85,50.0,5.7,7.1,50.0
en:pizza-with-ham-and-cheese,920.0,6.7,3.4,3.0,1.45,0.5708661417322829,,8.0,2.1,10.5,8.0
en:short-grain-rices,1463.0,0.75,0.2,0.3,0.01,0.00393700787401575,,,1.4,7.3,
