,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,sodium_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,fiber_100g,proteins_100g,fruits-vegetables-nuts-filling-estimate
fr:sauces-sriracha,365.0,0.3,0.05,15.75,9.209,3.6255905511811,,,2.0,0.98,
fr:crevettes-geantes-tigrees,358.03,0.685,0.2345,0.58,1.155,0.45472440944881903,,,0.0,18.395,
fr:nouilles-soba,1462.5,1.01,0.125,1.5499999999999998,0.85,0.3346456692913385,,,0.0,14.0,
en:quinoa-flours,1568.0,4.6,0.565,3.5,0.055,0.021653543307086624,,,7.35,11.85,
fr:olives-cassees,819.0,20.0,2.95,0.15000000000000002,4.199999999999999,1.6535433070866148,,,3.9,1.15,
fr:chocolats-au-lait-aux-noix-de-cajou,2393.0,38.0,21.0,46.15,0.195,0.0767716535433071,,7.6,1.55,8.65,7.6
fr:chocolats-aux-noix-de-cajou,2393.0,38.0,21.0,46.15,0.195,0.0767716535433071,,7.6,1.55,8.65,7.6
en:hypoallergenic-milks,290.0,3.25,1.25,6.35,0.07,0.02755905511811025,,,0.6,1.55,
fr:boissons-pour-le-sport,1502.5,0.0,0.0,71.2,2.7999999999999954,1.1023622047244075,,,0.0,0.0,
en:thons,583.5,3.4000000000000004,0.3,0.05,0.765,0.3011811023622045,,,0.0,23.15,
fr:confitures-de-fruits-de-la-passion,1016.5,0.5,0.01,57.1,0.034999999999999996,0.013779527559055125,,58.5,,1.1,58.5
fr:flamiches,1139.5,14.05,9.55,2.05,1.62447,0.639555118110236,,,,12.899999999999999,
fr:confitures-d-arbouses,989.5,0.2,0.05,53.1,0.05,0.0196850393700787,55.0,57.5,,0.5,55.0
fr:biscuits-fourres-au-chocolat,2029.0,19.85,10.05,33.0,0.7150000000000005,0.281496062992126,,,3.2,6.4,
en:beers-with-chestnut,0.0,,,,,,,,,,
en:sea-spaghetti-seaweeds,301.5,0.9,0.2,0.8,1.7,0.669291338582677,,,5.9,1.5,
fr:chocolats-au-lait-au-piment,2391.5,38.5,24.0,47.85,0.195,0.0767716535433071,,,,6.8,
fr:amandes-enrobees-de-chocolat,2388.5,40.5,17.5,34.6,0.085,0.033464566929133854,,26.5,,10.4,26.5
fr:charcuteries-halal,1056.0,20.0,6.75,0.5,2.0,0.78740157480315,,,0.0,11.0,
fr:miels-de-mandarinier,1381.5,0.25,0.05,77.5,0.0015,0.0005905511811023599,,,,0.0,
en:kombu-seaweeds,701.0,0.3,0.1,0.25,3.735,1.470472440944881,,,30.5,9.25,
fr:charcuteries-de-dinde,545.0,4.65,1.4,2.5,2.2,0.866141732283465,,,0.5,18.0,
fr:lacteos,253.0,2.2,0.3,2.3,0.14,0.0551181102362205,,,0.6,2.25,
fr:postres-de-soja,301.0,1.8,0.3,9.010000000000002,0.156,0.0614200787401575,,,0.7,3.25,
es:alcachofas-troceadas-en-conserva,148.0,0.25,0.0,1.1,0.6801999999999999,0.267795275590551,,,2.75,2.0,
fr:riz-noirs,1470.5,3.15,0.95,1.1,0.005,0.001968503937007875,,,4.25,8.95,
fr:pates-a-tartiner-au-speculoos,2426.5,38.1,7.6,35.150000000000006,0.5199999999999995,0.20472440944881848,,,0.8,3.15,
fr:kit-pour-burritos,955.0,3.8,1.05,3.5,1.83,0.720472440944882,,,2.2,7.1,
fr:melanges-de-cereales-et-legumineuses-en-grains,1255.0,2.5,0.4,2.1,0.33499999999999996,0.1318897637795276,,38.75,5.1,12.5,38.75
fr:preparation-pour-boissons-pour-le-sport,1492.0,0.5,0.35,46.0,0.48736,0.1918740157480315,,,1.0,11.0,
es:eaux-minerales-naturelles,0.0,0.0,0.0,0.0,0.013462,0.0053,,,,0.0,
